"Postcode","OA_Code","Total","Percentage"
"AL100AB","E00121504",85,96
"AL100AB","E00121512",4,4
"AL100DN","E00121458",38,84
"AL100DN","E00121460",7,16
"AL100DZ","E00121474",76,83
"AL100DZ","E00121478",16,17
"AL100QQ","E00121503",5,71
"AL100QQ","E00121518",2,29
"AL100SN","E00121460",11,73
"AL100SN","E00121462",4,27
"AL100UG","E00121512",36,97
"AL100UG","E00121513",1,3
"AL100UT","E00121459",36,75
"AL100UT","E00121460",12,25
"AL108AP","E00121484",29,91
"AL108AP","E00121502",3,9
"AL108SZ","E00121533",11,61
"AL108SZ","E00121547",7,39
"AL109FA","E00121505",26,38
"AL109FA","E00173268",43,62
"AL109FB","E00121505",2,4
"AL109FB","E00173248",43,91
"AL109FB","E00173254",2,4
"AL109FD","E00121505",19,40
"AL109FD","E00173254",28,60
"AL109FR","E00173235",90,74
"AL109FR","E00173257",31,26
"AL109FX","E00173231",10,24
"AL109FX","E00173237",32,76
"AL109GJ","E00173251",22,79
"AL109GJ","E00173257",6,21
"AL109GL","E00173246",173,84
"AL109GL","E00173251",33,16
"AL109JE","E00121540",67,67
"AL109JE","E00121554",33,33
"AL109JY","E00121505",11,73
"AL109JY","E00173254",4,27
"AL109JZ","E00173246",25,30
"AL109JZ","E00173251",34,41
"AL109JZ","E00173262",24,29
"AL109LR","E00173240",122,67
"AL109LR","E00173263",61,33
"AL109LU","E00173240",59,92
"AL109LU","E00173242",5,8
"AL109PS","E00173251",3,60
"AL109PS","E00173262",2,40
"AL1 1AR","E00120272",8,25
"AL1 1AR","E00120276",24,75
"AL1 1EU","E00120481",4,57
"AL1 1EU","E00120491",3,43
"AL1 1QL","E00120491",2,40
"AL1 1QL","E00120492",3,60
"AL1 1RF","E00120497",8,14
"AL1 1RF","E00120559",51,86
"AL1 1UX","E00120260",4,24
"AL1 1UX","E00120276",13,76
"AL1 2NG","E00120546",78,90
"AL1 2NG","E00120549",9,10
"AL1 3FS","E00120223",2,8
"AL1 3FS","E00120230",22,92
"AL1 3GH","E00120223",21,84
"AL1 3GH","E00120484",4,16
"AL1 3GJ","E00120223",4,31
"AL1 3GJ","E00120230",9,69
"AL1 3PE","E00120223",1,1
"AL1 3PE","E00120226",87,99
"AL1 3PW","E00120224",8,53
"AL1 3PW","E00120226",4,27
"AL1 3PW","E00120227",3,20
"AL1 3QB","E00120226",32,94
"AL1 3QB","E00120241",2,6
"AL1 3QH","E00120227",16,84
"AL1 3QH","E00120241",3,16
"AL1 3TG","E00120477",2,5
"AL1 3TG","E00120483",41,95
"AL1 4AL","E00120427",62,98
"AL1 4AL","E00120433",1,2
"AL1 4DN","E00120419",99,99
"AL1 4DN","E00120433",1,1
"AL1 4FJ","E00120419",3,14
"AL1 4FJ","E00120433",18,86
"AL1 4JG","E00120234",9,20
"AL1 4JG","E00120236",35,80
"AL1 4JP","E00120232",67,97
"AL1 4JP","E00120234",2,3
"AL1 4LQ","E00120235",7,29
"AL1 4LQ","E00120237",17,71
"AL1 4QE","E00120238",31,86
"AL1 4QE","E00120240",5,14
"AL1 4RH","E00120416",22,81
"AL1 4RH","E00120434",5,19
"AL1 4XS","E00120182",2,25
"AL1 4XS","E00120233",6,75
"AL1 5AG","E00120259",45,48
"AL1 5AG","E00120266",48,52
"AL1 5FG","E00120183",43,91
"AL1 5FG","E00120188",4,9
"AL1 5FN","E00120262",4,22
"AL1 5FN","E00120265",14,78
"AL1 5JF","E00120190",6,19
"AL1 5JF","E00120191",25,81
"AL1 5JS","E00120265",22,17
"AL1 5JS","E00120269",110,83
"AL1 5NE","E00120194",6,15
"AL1 5NE","E00120197",33,85
"AL1 5NL","E00120196",4,6
"AL1 5NL","E00120197",65,94
"AL1 5PB","E00120259",25,81
"AL1 5PB","E00120262",6,19
"AL1 5PN","E00120259",25,93
"AL1 5PN","E00120262",2,7
"AL2 1AP","E00120279",72,96
"AL2 1AP","E00169673",3,4
"AL2 1BG","E00120370",3,13
"AL2 1BG","E00120381",20,87
"AL2 1DZ","E00120279",11,13
"AL2 1DZ","E00120384",74,87
"AL2 1FD","E00169674",8,13
"AL2 1FD","E00169676",20,33
"AL2 1FD","E00169677",33,54
"AL2 1HE","E00120389",57,84
"AL2 1HE","E00120390",11,16
"AL2 1LP","E00120391",1,14
"AL2 1LP","E00120392",1,14
"AL2 1LP","E00169672",5,71
"AL2 1NG","E00120384",6,60
"AL2 1NG","E00120388",4,40
"AL2 1QX","E00120370",3,43
"AL2 1QX","E00120381",4,57
"AL2 1RQ","E00120378",1,2
"AL2 1RQ","E00120393",51,98
"AL2 2DS","E00120441",4,80
"AL2 2DS","E00120511",1,20
"AL2 2FB","E00169675",45,68
"AL2 2FB","E00169679",21,32
"AL2 2FD","E00169675",23,34
"AL2 2FD","E00169679",44,66
"AL2 2FG","E00169675",31,86
"AL2 2FG","E00169679",5,14
"AL2 2HR","E00120443",63,95
"AL2 2HR","E00120445",3,5
"AL2 2JL","E00120440",4,31
"AL2 2JL","E00120443",9,69
"AL2 2JU","E00120444",2,33
"AL2 2JU","E00169675",4,67
"AL2 2ND","E00120440",2,8
"AL2 2ND","E00120456",24,92
"AL2 2RH","E00120437",13,87
"AL2 2RH","E00120439",2,13
"AL2 2SL","E00120445",3,43
"AL2 2SL","E00120447",4,57
"AL2 3BN","E00120506",4,36
"AL2 3BN","E00120508",7,64
"AL2 3EQ","E00120506",5,3
"AL2 3EQ","E00120508",160,97
"AL2 3JZ","E00120521",66,88
"AL2 3JZ","E00120577",9,12
"AL2 3LF","E00120475",21,66
"AL2 3LF","E00120577",11,34
"AL2 3LY","E00120450",14,88
"AL2 3LY","E00120452",2,13
"AL2 3ND","E00120449",32,89
"AL2 3ND","E00120517",4,11
"AL2 3NP","E00120475",5,22
"AL2 3NP","E00120504",15,65
"AL2 3NP","E00120512",3,13
"AL2 3PY","E00120514",22,88
"AL2 3PY","E00120515",3,12
"AL2 3QF","E00120512",12,23
"AL2 3QF","E00120515",40,77
"AL2 3QG","E00120512",38,75
"AL2 3QG","E00120515",13,25
"AL2 3RH","E00120502",4,25
"AL2 3RH","E00120519",12,75
"AL2 3TD","E00120441",13,22
"AL2 3TD","E00120447",18,31
"AL2 3TD","E00120511",27,47
"AL2 3UJ","E00120451",2,11
"AL2 3UJ","E00120452",16,89
"AL3 4BJ","E00120573",38,90
"AL3 4BJ","E00120575",4,10
"AL3 4BY","E00120562",25,96
"AL3 4BY","E00120583",1,4
"AL3 4QR","E00120565",49,92
"AL3 4QR","E00120583",4,8
"AL3 5EG","E00120479",26,96
"AL3 5EG","E00120481",1,4
"AL3 5EH","E00120479",8,23
"AL3 5EH","E00120481",27,77
"AL3 5LG","E00120204",27,68
"AL3 5LG","E00120208",13,33
"AL3 5LN","E00120204",5,7
"AL3 5LN","E00120208",63,93
"AL3 5ND","E00120498",11,65
"AL3 5ND","E00120501",6,35
"AL3 5PJ","E00120206",41,31
"AL3 5PJ","E00120222",92,69
"AL3 5PS","E00120204",3,17
"AL3 5PS","E00120210",15,83
"AL3 5QG","E00120203",30,79
"AL3 5QG","E00120478",8,21
"AL3 5QJ","E00120499",40,98
"AL3 5QJ","E00120500",1,2
"AL3 5RT","E00120206",4,9
"AL3 5RT","E00120221",41,91
"AL3 5SU","E00120206",9,22
"AL3 5SU","E00120222",32,78
"AL3 5UW","E00120205",3,3
"AL3 5UW","E00120208",96,97
"AL3 6AA","E00120475",2,25
"AL3 6AA","E00120570",6,75
"AL3 6BG","E00120420",24,26
"AL3 6BG","E00120422",42,45
"AL3 6BG","E00120423",27,29
"AL3 6BQ","E00120420",44,62
"AL3 6BQ","E00120423",16,23
"AL3 6BQ","E00120424",11,15
"AL3 6BU","E00120217",112,97
"AL3 6BU","E00120220",3,3
"AL3 6DR","E00120213",18,82
"AL3 6DR","E00120474",4,18
"AL3 6HL","E00120212",2,3
"AL3 6HL","E00120216",78,98
"AL3 6LZ","E00120422",7,64
"AL3 6LZ","E00120424",4,36
"AL3 6NL","E00120213",3,21
"AL3 6NL","E00120218",11,79
"AL3 7AW","E00119019",7,58
"AL3 7AW","E00120458",5,42
"AL3 7EG","E00120465",11,69
"AL3 7EG","E00120466",5,31
"AL3 7EU","E00120461",94,99
"AL3 7EU","E00120462",1,1
"AL3 7HR","E00120464",4,44
"AL3 7HR","E00120468",5,56
"AL3 7JE","E00120459",115,95
"AL3 7JE","E00120462",6,5
"AL3 7JU","E00120463",2,50
"AL3 7JU","E00120467",2,50
