"Postcode","OA_Code","Total","Percentage"
"GL102BQ","E00113885",45,67
"GL102BQ","E00113888",2,3
"GL102BQ","E00113890",20,30
"GL102DN","E00113879",64,97
"GL102DN","E00113882",2,3
"GL102EE","E00113870",3,5
"GL102EE","E00113875",59,95
"GL102EY","E00113875",68,80
"GL102EY","E00113876",17,20
"GL102JT","E00113887",1,14
"GL102JT","E00113889",6,86
"GL102JY","E00113887",62,100
"GL102JY","E00113889",0,0
"GL102NA","E00113880",1,2
"GL102NA","E00113886",54,98
"GL102NG","E00113880",32,94
"GL102NG","E00113888",2,6
"GL102PL","E00113885",6,86
"GL102PL","E00113886",1,14
"GL102QR","E00113868",233,98
"GL102QR","E00113869",4,2
"GL102QT","E00113880",3,75
"GL102QT","E00113888",1,25
"GL103BJ","E00113741",3,9
"GL103BJ","E00113743",31,91
"GL103BZ","E00113746",24,75
"GL103BZ","E00113876",8,25
"GL103DP","E00113746",1,17
"GL103DP","E00113770",5,83
"GL103DS","E00113746",16,84
"GL103DS","E00113770",3,16
"GL103HL","E00113899",3,5
"GL103HL","E00113900",63,95
"GL103HW","E00113899",3,6
"GL103HW","E00113900",49,94
"GL103LU","E00113902",11,18
"GL103LU","E00113903",9,15
"GL103LU","E00113905",40,67
"GL103PJ","E00113879",3,2
"GL103PJ","E00113881",172,98
"GL103PL","E00113879",6,6
"GL103PL","E00113881",92,94
"GL103QE","E00113896",7,47
"GL103QE","E00113897",8,53
"GL103QW","E00113890",141,71
"GL103QW","E00113891",57,29
"GL103SU","E00113744",38,95
"GL103SU","E00113746",2,5
"GL103TR","E00113612",0,0
"GL103TR","E00113715",4,50
"GL103TR","E00113897",4,50
"GL103UW","E00113715",5,71
"GL103UW","E00113800",2,29
"GL114DB","E00113733",1,3
"GL114DB","E00113735",39,98
"GL114EQ","E00113736",21,84
"GL114EQ","E00113737",4,16
"GL114EW","E00113736",4,7
"GL114EW","E00113737",52,93
"GL114GA","E00113738",7,7
"GL114GA","E00168981",99,93
"GL114GB","E00168980",29,35
"GL114GB","E00168981",53,65
"GL114GQ","E00113721",4,31
"GL114GQ","E00168981",9,69
"GL114JD","E00113740",2,12
"GL114JD","E00168980",15,88
"GL114JG","E00113738",34,94
"GL114JG","E00168981",2,6
"GL114JX","E00113723",44,83
"GL114JX","E00113724",8,15
"GL114JX","E00113740",1,2
"GL114NJ","E00113725",4,80
"GL114NJ","E00113727",1,20
"GL114PJ","E00113725",11,46
"GL114PJ","E00113727",13,54
"GL114PU","E00113721",4,4
"GL114PU","E00113726",87,96
"GL115AA","E00113740",2,20
"GL115AA","E00168980",8,80
"GL115AD","E00113719",4,11
"GL115AD","E00113725",5,14
"GL115AD","E00113727",27,75
"GL115AN","E00113713",2,17
"GL115AN","E00113717",8,67
"GL115AN","E00113719",2,17
"GL115AZ","E00113713",16,89
"GL115AZ","E00113714",2,11
"GL115BH","E00113664",2,5
"GL115BH","E00113717",38,95
"GL115BN","E00113719",2,33
"GL115BN","E00113720",4,67
"GL115BQ","E00113664",4,36
"GL115BQ","E00113719",7,64
"GL115BY","E00112860",4,27
"GL115BY","E00113715",11,73
"GL115DW","E00113683",2,67
"GL115DW","E00113714",1,33
"GL115EA","E00113713",3,21
"GL115EA","E00113714",11,79
"GL115EB","E00113713",29,94
"GL115EB","E00113714",2,6
"GL115ED","E00113713",2,18
"GL115ED","E00113714",9,82
"GL115GN","E00113725",23,47
"GL115GN","E00113727",26,53
"GL115HE","E00113664",35,92
"GL115HE","E00113719",3,8
"GL115HS","E00113673",21,84
"GL115HS","E00113677",4,16
"GL115JF","E00113670",10,11
"GL115JF","E00113674",77,89
"GL115JP","E00113658",2,6
"GL115JP","E00113669",32,94
"GL115LA","E00113675",4,13
"GL115LA","E00113685",28,88
"GL115ND","E00113669",5,42
"GL115ND","E00113685",7,58
"GL115PP","E00113663",26,87
"GL115PP","E00113668",4,13
"GL115QG","E00113660",7,70
"GL115QG","E00113671",3,30
"GL115QQ","E00113661",2,20
"GL115QQ","E00113667",8,80
"GL115RS","E00113665",47,94
"GL115RS","E00113666",3,6
"GL115TD","E00113716",60,98
"GL115TD","E00113719",1,2
"GL115TE","E00113718",2,4
"GL115TE","E00113719",44,96
"GL116AN","E00113938",8,89
"GL116AN","E00113939",1,11
