"Postcode","OA_Code","Total","Percentage"
"M11 1BX","E00175833",48,87
"M11 1BX","E00175834",7,13
"M11 1DE","E00025846",72,77
"M11 1DE","E00175834",21,23
"M11 1DH","E00175833",34,67
"M11 1DH","E00175834",17,33
"M11 1DJ","E00175833",6,40
"M11 1DJ","E00175834",9,60
"M11 1DP","E00025835",11,15
"M11 1DP","E00175833",61,85
"M11 1EE","E00025846",3,18
"M11 1EE","E00175834",14,82
"M11 1EF","E00025850",35,92
"M11 1EF","E00175834",3,8
"M11 1FN","E00025850",20,50
"M11 1FN","E00175834",20,50
"M11 1GD","E00025835",1,5
"M11 1GD","E00175833",20,95
"M11 1HX","E00025853",64,85
"M11 1HX","E00175878",11,15
"M11 1JT","E00025852",11,85
"M11 1JT","E00175850",2,15
"M11 1NT","E00025832",59,98
"M11 1NT","E00025857",1,2
"M11 1WP","E00025832",19,49
"M11 1WP","E00025857",20,51
"M11 2DL","E00025842",63,46
"M11 2DL","E00176039",75,54
"M11 2EX","E00025837",5,50
"M11 2EX","E00025844",5,50
"M11 2LS","E00025832",100,71
"M11 2LS","E00025857",41,29
"M11 2NL","E00025844",4,80
"M11 2NL","E00025845",1,20
"M11 3AW","E00025836",90,89
"M11 3AW","E00025845",11,11
"M11 3BH","E00175848",34,51
"M11 3BH","E00176073",33,49
"M11 3BN","E00175848",32,57
"M11 3BN","E00176073",24,43
"M11 3LN","E00025836",29,23
"M11 3LN","E00025842",79,63
"M11 3LN","E00025845",17,14
"M11 3LS","E00025836",3,8
"M11 3LS","E00025845",35,92
"M11 3NA","E00025788",11,34
"M11 3NA","E00175848",21,66
"M11 3NB","E00175848",11,31
"M11 3NB","E00176073",2,6
"M11 3NB","E00176074",22,63
"M11 3NJ","E00175848",75,44
"M11 3NJ","E00176039",8,5
"M11 3NJ","E00176073",86,51
"M11 3NP","E00176039",7,54
"M11 3NP","E00176073",2,15
"M11 3NP","E00176074",4,31
"M11 3QP","E00025787",23,68
"M11 3QP","E00176074",11,32
"M11 3UA","E00175849",22,42
"M11 3UA","E00176074",30,58
"M11 4DN","E00175874",23,64
"M11 4DN","E00175971",13,36
"M11 4PL","E00025786",32,62
"M11 4PL","E00030412",20,38
"M11 4SW","E00175876",21,75
"M11 4SW","E00175971",7,25
"M12 4DL","E00025625",8,47
"M12 4DL","E00025628",9,53
"M12 4FG","E00025626",2,9
"M12 4FG","E00025628",21,91
"M12 4LB","E00026503",2,6
"M12 4LB","E00026507",34,94
"M12 4NZ","E00026503",85,93
"M12 4NZ","E00026506",6,7
"M12 4QT","E00026490",1,1
"M12 4QT","E00026498",67,99
"M12 5GY","E00026330",12,11
"M12 5GY","E00026512",97,89
