"Postcode","OA_Code","Total","Percentage"
"S10 1BP","E00039842",14,30
"S10 1BP","E00039843",33,70
"S10 1DG","E00039800",11,35
"S10 1DG","E00040864",20,65
"S10 1DJ","E00040894",13,5
"S10 1DJ","E00040903",250,95
"S10 1ER","E00040864",222,90
"S10 1ER","E00040895",21,8
"S10 1ER","E00040901",5,2
"S10 1ET","E00039835",56,41
"S10 1ET","E00040864",79,59
"S10 1FD","E00039836",2,2
"S10 1FD","E00040279",84,98
"S10 1GG","E00040863",10,15
"S10 1GG","E00040893",58,85
"S10 1NT","E00040858",4,5
"S10 1NT","E00040890",83,95
"S10 1NW","E00040885",22,81
"S10 1NW","E00040892",5,19
"S10 1NZ","E00040857",1,1
"S10 1NZ","E00040858",102,99
"S10 1PA","E00040858",1,1
"S10 1PA","E00040884",121,99
"S10 1QE","E00041304",5,24
"S10 1QE","E00041349",16,76
"S10 1SA","E00041312",74,86
"S10 1SA","E00041328",12,14
"S10 1SF","E00040307",50,56
"S10 1SF","E00041325",40,44
"S10 1SG","E00040307",77,58
"S10 1SG","E00041325",56,42
"S10 1SS","E00040307",13,16
"S10 1SS","E00041329",67,84
"S10 1TB","E00040309",120,95
"S10 1TB","E00040313",6,5
"S10 1TE","E00040309",22,71
"S10 1TE","E00041312",9,29
"S10 1TE","E00041328",0,0
"S10 2BA","E00041066",143,89
"S10 2BA","E00041107",18,11
"S10 2FR","E00041066",105,94
"S10 2FR","E00041094",7,6
"S10 2GA","E00039837",11,13
"S10 2GA","E00041100",49,58
"S10 2GA","E00172493",25,29
"S10 2GJ","E00039837",54,36
"S10 2GJ","E00041093",22,15
"S10 2GJ","E00041094",75,50
"S10 2HP","E00039837",2,3
"S10 2HP","E00041094",57,97
"S10 2LJ","E00039804",16,89
"S10 2LJ","E00039849",2,11
"S10 2NA","E00039816",89,77
"S10 2NA","E00041104",26,23
"S10 2NP","E00039806",139,97
"S10 2NP","E00039816",4,3
"S10 2NQ","E00039816",2,1
"S10 2NQ","E00039818",140,99
"S10 2PN","E00039842",21,60
"S10 2PN","E00039843",14,40
"S10 2RA","E00039802",75,88
"S10 2RA","E00039837",10,12
"S10 2SD","E00039802",81,98
"S10 2SD","E00039843",2,2
"S10 2SU","E00039837",4,8
"S10 2SU","E00039841",48,92
"S10 3AB","E00172482",64,25
"S10 3AB","E00172542",194,75
"S10 3AD","E00172482",6,2
"S10 3AD","E00172483",0,0
"S10 3AD","E00172542",245,98
"S10 3AE","E00039804",107,98
"S10 3AE","E00172482",2,2
"S10 3AH","E00172444",26,6
"S10 3AH","E00172542",417,94
"S10 3AR","E00172482",28,25
"S10 3AR","E00172483",86,75
"S10 3AT","E00172454",309,90
"S10 3AT","E00172547",33,10
"S10 3BN","E00172454",40,98
"S10 3BN","E00172528",1,2
"S10 3BZ","E00039814",127,98
"S10 3BZ","E00039842",2,2
"S10 3DF","E00039807",4,5
"S10 3DF","E00172482",53,72
"S10 3DF","E00172483",17,23
"S10 3DN","E00172483",222,78
"S10 3DN","E00172539",61,22
"S10 3EB","E00172480",9,60
"S10 3EB","E00172482",6,40
"S10 3EP","E00172481",15,71
"S10 3EP","E00172539",6,29
"S10 3EW","E00172444",67,38
"S10 3EW","E00172542",111,62
"S10 3GX","E00039808",11,13
"S10 3GX","E00039817",72,87
"S10 3GZ","E00039808",4,9
"S10 3GZ","E00040333",42,91
"S10 3HD","E00040282",90,98
"S10 3HD","E00040333",2,2
"S10 3LA","E00039850",3,8
"S10 3LA","E00040282",36,92
"S10 3LB","E00039808",5,71
"S10 3LB","E00040282",2,29
"S10 3LG","E00039850",14,64
"S10 3LG","E00040282",6,27
"S10 3LG","E00040283",2,9
"S10 3LW","E00039850",17,63
"S10 3LW","E00040283",10,37
"S10 3LZ","E00039850",34,58
"S10 3LZ","E00040283",25,42
"S10 3PX","E00039813",2,40
"S10 3PX","E00039828",3,60
"S10 3QQ","E00039832",45,96
"S10 3QQ","E00040301",2,4
"S10 3RH","E00040278",50,93
"S10 3RH","E00040284",4,7
"S10 3TE","E00040200",12,13
"S10 3TE","E00040305",83,87
"S10 4FL","E00040278",3,5
"S10 4FL","E00040297",2,4
"S10 4FL","E00040300",51,91
"S10 4LB","E00040284",1,2
"S10 4LB","E00040286",43,98
"S10 4ND","E00172549",15,30
"S10 4ND","E00172550",35,70
"S10 4NE","E00172548",18,23
"S10 4NE","E00172549",60,77
"S10 4NF","E00040293",63,43
"S10 4NF","E00172549",73,49
"S10 4NF","E00172550",12,8
"S10 4NN","E00040293",11,48
"S10 4NN","E00172549",12,52
"S10 5BA","E00039838",7,9
"S10 5BA","E00039842",72,91
"S10 5BU","E00039801",61,98
"S10 5BU","E00039840",1,2
"S10 5BY","E00039845",199,99
"S10 5BY","E00172480",2,1
"S10 5BZ","E00039838",28,28
"S10 5BZ","E00040279",72,72
"S10 5DA","E00039845",58,66
"S10 5DA","E00040322",30,34
"S10 5DQ","E00040328",36,50
"S10 5DQ","E00040332",36,50
"S10 5FA","E00039844",26,43
"S10 5FA","E00040326",35,57
"S10 5FB","E00039844",51,54
"S10 5FB","E00040326",43,46
"S10 5FH","E00039840",35,29
"S10 5FH","E00040322",87,71
"S10 5FJ","E00040321",12,15
"S10 5FJ","E00040322",69,85
"S10 5FP","E00040280",32,35
"S10 5FP","E00040321",60,65
"S10 5GA","E00039844",12,31
"S10 5GA","E00040332",27,69
"S10 5GF","E00040320",37,95
"S10 5GF","E00040328",2,5
"S10 5NF","E00040325",76,99
"S10 5NF","E00040329",1,1
"S10 5NN","E00040281",2,3
"S10 5NN","E00040320",70,97
"S10 5NW","E00040272",102,98
"S10 5NW","E00040331",2,2
"S10 5PX","E00040274",5,42
"S10 5PX","E00040308",7,58
"S10 5RG","E00039808",17,35
"S10 5RG","E00039817",12,24
"S10 5RG","E00040333",20,41
"S10 5TQ","E00040324",5,11
"S10 5TQ","E00040331",40,89
"S10 5TZ","E00040274",112,97
"S10 5TZ","E00040283",4,3
"S11 7AP","E00040175",1,1
"S11 7AP","E00040176",118,99
"S11 7BJ","E00040157",3,38
"S11 7BJ","E00040182",5,63
"S11 7EA","E00039822",4,14
"S11 7EA","E00039824",24,86
"S11 7ED","E00039822",5,5
"S11 7ED","E00039827",95,95
"S11 7EY","E00039829",3,5
"S11 7EY","E00039830",63,95
"S11 7FB","E00039832",2,3
"S11 7FB","E00039833",73,97
"S11 7FE","E00039833",4,11
"S11 7FE","E00039834",32,89
"S11 7FN","E00039833",10,59
"S11 7FN","E00039834",7,41
"S11 7GR","E00040157",3,21
"S11 7GR","E00040186",11,79
"S11 7LG","E00040187",47,94
"S11 7LG","E00040191",3,6
"S11 7TU","E00040106",9,33
"S11 7TU","E00040200",12,44
"S11 7TU","E00040296",6,22
"S11 8AA","E00041083",2,6
"S11 8AA","E00041119",3,9
"S11 8AA","E00041121",28,85
"S11 8AP","E00041073",10,22
"S11 8AP","E00041120",36,78
"S11 8HA","E00172441",51,98
"S11 8HA","E00172451",1,2
"S11 8NE","E00041070",5,3
"S11 8NE","E00041110",155,97
"S11 8NT","E00039811",82,46
"S11 8NT","E00041070",2,1
"S11 8NT","E00041110",96,53
"S11 8NW","E00039811",206,96
"S11 8NW","E00039816",9,4
"S11 8NX","E00041104",75,82
"S11 8NX","E00041110",16,18
"S11 8PG","E00039811",6,13
"S11 8PG","E00039816",39,81
"S11 8PG","E00040771",3,6
"S11 8PR","E00039812",42,75
"S11 8PR","E00039826",14,25
"S11 8PU","E00040780",7,58
"S11 8PU","E00040788",5,42
"S11 8QF","E00039826",34,94
"S11 8QF","E00040773",2,6
"S11 8QH","E00039826",35,38
"S11 8QH","E00040772",57,62
"S11 8QN","E00040772",2,5
"S11 8QN","E00040773",40,95
"S11 8RB","E00039818",1,1
"S11 8RB","E00039823",121,99
"S11 8TZ","E00040780",2,3
"S11 8TZ","E00040788",71,97
"S11 9AA","E00040781",11,17
"S11 9AA","E00040786",53,83
"S11 9AQ","E00040747",9,9
"S11 9AQ","E00040783",90,91
"S11 9AW","E00040747",6,6
"S11 9AW","E00040790",99,94
"S11 9DQ","E00040748",65,46
"S11 9DQ","E00040750",38,27
"S11 9DQ","E00040794",37,26
"S11 9EP","E00040750",15,83
"S11 9EP","E00040794",3,17
"S11 9FS","E00040757",3,7
"S11 9FS","E00040763",42,93
"S11 9HH","E00040204",54,93
"S11 9HH","E00040754",4,7
"S11 9ND","E00040168",8,15
"S11 9ND","E00040171",44,85
"S11 9NY","E00040164",20,47
"S11 9NY","E00040165",23,53
"S11 9PN","E00040203",48,92
"S11 9PN","E00040205",4,8
"S11 9PR","E00040203",32,51
"S11 9PR","E00040205",31,49
"S11 9PU","E00040167",1,3
"S11 9PU","E00040211",31,97
"S11 9PY","E00040167",64,52
"S11 9PY","E00040171",58,48
"S11 9PZ","E00040164",1,7
"S11 9PZ","E00040165",13,93
"S11 9QB","E00040095",2,11
"S11 9QB","E00040164",17,89
"S11 9QD","E00040095",4,50
"S11 9QD","E00040164",4,50
"S11 9QU","E00040168",39,63
"S11 9QU","E00040171",23,37
"S11 9RW","E00040164",4,6
"S11 9RW","E00040165",66,94
"S11 9RX","E00040164",5,20
"S11 9RX","E00040165",20,80
"S12 2AQ","E00040583",70,99
"S12 2AQ","E00040587",1,1
"S12 2AW","E00040526",16,59
"S12 2AW","E00040583",11,41
"S12 2AY","E00040574",1,1
